region,frame_id,sensor,time_iso,ny,nx,bbox_W,bbox_S,bbox_E,bbox_N,finite_pct,min,median,max,top10_median,bot10_median,orientation_class,row_order_present,row_order_value,producer_git_sha_present,model_version,qa_gate
usec_md,usec_md_20260509_2026129.1636_chl_PACE-OCI.json,PACE-OCI,20260509,594,891,-77.0,35.0,-71.0,39.0,0.04,0.0761,0.1101,0.8201,,,?,NO,,NO,,REJECT
usec_md,usec_md_20260510_2026130.1445_chl_S3B.json,S3B,20260510,743,743,-77.0,35.0,-71.0,39.0,42.98,0.0566,0.6036,19.9838,0.842,0.5883,flat,NO,,NO,,WARN
usec_md,usec_md_20260510_2026130.1711_chl_PACE-OCI.json,PACE-OCI,20260510,594,891,-77.0,35.0,-71.0,39.0,5.86,0.0493,0.3738,1.0319,0.2229,0.4577,north_up,NO,,NO,,PASS
usec_md,usec_md_20260511_2026131.1432_chl_S3A-S3B.json,S3A-S3B,20260511,743,743,-77.0,35.0,-71.0,39.0,7.66,0.0194,0.1316,0.8457,0.1175,,?,NO,,NO,,PASS
usec_md,usec_md_20260511_2026131.1746_chl_PACE-OCI.json,PACE-OCI,20260511,594,891,-77.0,35.0,-71.0,39.0,0.12,0.0483,0.0833,0.1307,,,?,NO,,NO,,REJECT
usec_md,usec_md_20260512_2026132.1431_chl_S3A.json,S3A,20260512,743,743,-77.0,35.0,-71.0,39.0,70.79,0.01,0.5292,19.9944,0.1477,0.9036,north_up,NO,,NO,,PASS
usec_md,usec_md_20260512_2026132.1732_chl_PACE-OCI.json,PACE-OCI,20260512,742,742,-77.0,35.0,-71.0,39.0,50.08,0.0566,0.4103,1.043,0.1422,0.7107,north_up,NO,,NO,,PASS
usec_md,usec_md_20260513_2026133.1507_chl_S3B.json,S3B,20260513,743,743,-77.0,35.0,-71.0,39.0,3.46,0.2393,6.5541,19.9628,7.3981,,?,NO,,NO,,PASS
usec_md,usec_md_20260513_2026133.1717_chl_PACE-OCI.json,PACE-OCI,20260513,594,891,-77.0,35.0,-71.0,39.0,4.29,0.0374,0.2878,1.033,0.096,0.4582,north_up,NO,,NO,,PASS
usec_md,usec_md_20260514_2026134.1441_chl_S3B.json,S3B,20260514,743,743,-77.0,35.0,-71.0,39.0,15.68,0.01,0.122,19.9424,0.114,,?,NO,,NO,,PASS
