region,frame_id,sensor,time_iso,ny,nx,bbox_W,bbox_S,bbox_E,bbox_N,finite_pct,min,median,max,top10_median,bot10_median,orientation_class,row_order_present,row_order_value,producer_git_sha_present,model_version,qa_gate
usec_south,usec_south_20260502_2026122.1727_chl_PACE-OCI.json,PACE-OCI,20260502,742,1187,-81.0,31.0,-73.0,36.0,0.89,0.0246,0.0486,0.1235,0.0453,,?,NO,,NO,,REJECT
usec_south,usec_south_20260503_2026123.1624_chl_PACE-OCI.json,PACE-OCI,20260503,742,1187,-81.0,31.0,-73.0,36.0,60.65,0.0227,0.1131,1.0496,0.0795,0.1608,north_up,NO,,NO,,PASS
usec_south,usec_south_20260503_2026123.1802_chl_PACE-OCI.json,PACE-OCI,20260503,742,1187,-81.0,31.0,-73.0,36.0,38.78,0.0313,0.111,1.0228,0.0776,0.2028,north_up,NO,,NO,,PASS
usec_south,usec_south_20260504_2026124.1659_chl_PACE-OCI.json,PACE-OCI,20260504,742,1187,-81.0,31.0,-73.0,36.0,55.29,0.0228,0.1033,1.0991,0.0812,0.1358,flat,NO,,NO,,PASS
usec_south,usec_south_20260505_2026125.1734_chl_PACE-OCI.json,PACE-OCI,20260505,742,1187,-81.0,31.0,-73.0,36.0,7.3,0.0422,0.0811,0.2589,0.0822,0.1189,flat,NO,,NO,,PASS
usec_south,usec_south_20260506_2026126.1630_chl_PACE-OCI.json,PACE-OCI,20260506,742,1187,-81.0,31.0,-73.0,36.0,7.17,0.0305,0.0665,0.1358,0.047,,?,NO,,NO,,PASS
usec_south,usec_south_20260506_2026126.1808_chl_PACE-OCI.json,PACE-OCI,20260506,742,1187,-81.0,31.0,-73.0,36.0,13.76,0.0359,0.074,0.2672,,0.0688,?,NO,,NO,,PASS
usec_south,usec_south_20260507_2026127.1705_chl_PACE-OCI.json,PACE-OCI,20260507,742,1187,-81.0,31.0,-73.0,36.0,0.64,0.0424,0.0712,0.0999,0.0735,,?,NO,,NO,,REJECT
usec_south,usec_south_20260508_2026128.1740_chl_PACE-OCI.json,PACE-OCI,20260508,742,1187,-81.0,31.0,-73.0,36.0,5.82,0.0495,0.0896,0.7834,,0.0911,?,NO,,NO,,PASS
usec_south,usec_south_20260509_2026129.1815_chl_PACE-OCI.json,PACE-OCI,20260509,742,1187,-81.0,31.0,-73.0,36.0,0.03,0.0892,0.099,0.1068,,,?,NO,,NO,,REJECT
usec_south,usec_south_20260510_2026130.1458_chl_S3A-S3B.json,S3A-S3B,20260510,743,1188,-81.0,31.0,-73.0,36.0,3.94,0.0146,0.4387,19.9929,0.2653,0.8265,north_up,NO,,NO,,PASS
usec_south,usec_south_20260510_2026130.1605_chl_SGLI.json,SGLI,2026-05-10T16:05:35Z,743,1188,-81.0,31.0,-73.0,36.0,8.08,0.01,0.3734,20.0,0.0512,0.5197,north_up,NO,,NO,,PASS
usec_south,usec_south_20260510_2026130.1711_chl_PACE-OCI.json,PACE-OCI,20260510,742,1187,-81.0,31.0,-73.0,36.0,1.02,0.059,0.202,0.7316,,0.2659,?,NO,,NO,,PASS
usec_south,usec_south_20260511_2026131.1432_chl_S3A-S3B.json,S3A-S3B,20260511,743,1188,-81.0,31.0,-73.0,36.0,36.4,0.0167,0.1322,19.9242,0.1136,0.1325,flat,NO,,NO,,PASS
usec_south,usec_south_20260511_2026131.1538_chl_SGLI.json,SGLI,2026-05-11T15:38:52Z,743,1188,-81.0,31.0,-73.0,36.0,14.01,0.01,0.0528,4.512,0.0312,0.0553,flat,NO,,NO,,PASS
